Name,Division,Week1,Week2,Week3,Week4,Week5
Reece Sweeney,Sales,3,7,8,7,8
Harper Huber,Management,8,9,7,5,2
Richard Hinton,Research,10,4,7,6,5
Andy Peters,Production,8,6,9,2,4
Dangelo Jones,Research,3,4,9,7,7
Walker Pierce,Management,7,4,5,4,10
Makenna Krause,Sales,8,9,6,5,9
Abril Garza,Management,4,9,7,9,8
Jayce Wilson,Research,6,4,4,4,4
Carlos Ayala,Management,5,7,7,5,10
Jorden Wilcox,Sales,7,8,9,3,5
Tara Baxter,Research,6,5,2,7,8
Ramon Craig,Production,3,9,5,3,2
Walker Raymond,Research,9,4,2,4,4
Allan Whitney,Sales,10,2,8,3,4
Teresa Herrera,Sales,2,8,3,4,6
Santino Atkinson,Management,3,7,7,6,4
Mary Horn,Research,2,3,10,10,4
Annabel Scott,Sales,4,5,10,10,6
Kaeden Baker,Management,5,5,10,9,6
Griffin Aguilar,Production,5,9,3,6,9
Layne Phillips,Production,4,9,5,3,6
Lincoln Compton,Management,10,6,5,3,6
Joaquin Curry,Production,10,4,6,10,8
Osvaldo Walter,Management,9,2,2,6,10
Ronald Mays,Research,9,3,4,4,8
Jaylyn Nunez,Production,7,7,5,2,9
Nicole Underwood,Management,4,10,3,7,4
Jaylah Parker,Sales,7,6,7,9,9
Pierce Gregory,Production,2,4,5,5,5
